Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 73,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 883,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 884,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 886,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 887,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 888,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 889,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 890,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 891,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 893,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 894,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 895,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 896,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 897,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 898,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 899,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 900,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp.A,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp.B,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp.C,sediment,macrofauna
